,titles,genre,rating,year,director
211,Joker,"['Crime', 'Drama', 'Thriller']",8.4,I) (,Todd Phillips
212,The Departed,"['Crime', 'Drama', 'Thriller']",8.5,2006,Martin Scorsese
213,Whiplash,"['Drama', 'Music']",8.5,2014,Damien Chazelle
214,Good Will Hunting,"['Drama', 'Romance']",8.3,1997,Gus Van Sant
215,Fight Club,['Drama'],8.8,1999,David Fincher
216,The Help,['Drama'],8.1,2011,Tate Taylor
217,Forrest Gump,"['Drama', 'Romance']",8.8,1994,Robert Zemeckis
218,Scarface,"['Crime', 'Drama']",8.3,1983,Brian De Palma
219,Parasite,"['Drama', 'Thriller']",8.5,2019,Bong Joon Ho
220,The Godfather Part II,"['Crime', 'Drama']",9.0,1974,Francis Ford Coppola
221,Schindler's List,"['Biography', 'Drama', 'History']",9.0,1993,Steven Spielberg
222,Inglourious Basterds,"['Adventure', 'Drama', 'War']",8.3,2009,Quentin Tarantino
223,12 Angry Men,"['Crime', 'Drama']",9.0,1957,Sidney Lumet
224,Django Unchained,"['Drama', 'Western']",8.4,2012,Quentin Tarantino
225,Heat,"['Action', 'Crime', 'Drama']",8.3,1995,Michael Mann
226,Gladiator,"['Action', 'Adventure', 'Drama']",8.5,2000,Ridley Scott
227,Eternal Sunshine of the Spotless Mind,"['Drama', 'Romance', 'Sci-Fi']",8.3,2004,Michel Gondry
228,Harry Potter and the Deathly Hallows: Part 2,"['Adventure', 'Family', 'Fantasy']",8.1,2011,David Yates
229,The Silence of the Lambs,"['Crime', 'Drama', 'Thriller']",8.6,1991,Jonathan Demme
230,Goodfellas,"['Biography', 'Crime', 'Drama']",8.7,1990,Martin Scorsese
231,Requiem for a Dream,['Drama'],8.3,2000,Darren Aronofsky
232,Prisoners,"['Crime', 'Drama', 'Mystery']",8.1,2013,Denis Villeneuve
233,The Green Mile,"['Crime', 'Drama', 'Fantasy']",8.6,1999,Frank Darabont
234,Se7en,"['Crime', 'Drama', 'Mystery']",8.6,1995,David Fincher
235,Gone Girl,"['Drama', 'Mystery', 'Thriller']",8.1,2014,David Fincher
236,Catch Me If You Can,"['Biography', 'Crime', 'Drama']",8.1,2002,Steven Spielberg
237,Back to the Future,"['Adventure', 'Comedy', 'Sci-Fi']",8.5,1985,Robert Zemeckis
238,Shutter Island,"['Mystery', 'Thriller']",8.2,2010,Martin Scorsese
239,Indiana Jones and the Raiders of the Lost Ark,"['Action', 'Adventure']",8.4,1981,Steven Spielberg
240,Taxi Driver,"['Crime', 'Drama']",8.2,1976,Martin Scorsese
241,American Beauty,['Drama'],8.4,1999,Sam Mendes
242,The Lord of the Rings: The Return of the King,"['Action', 'Adventure', 'Drama']",9.0,2003,Peter Jackson
243,The Prestige,"['Drama', 'Mystery', 'Sci-Fi']",8.5,2006,Christopher Nolan
244,One Flew Over the Cuckoo's Nest,['Drama'],8.7,1975,Milos Forman
245,The Matrix,"['Action', 'Sci-Fi']",8.7,1999,Lana Wachowski
246,Apocalypse Now,"['Drama', 'Mystery', 'War']",8.5,1979,Francis Ford Coppola
247,No Country for Old Men,"['Crime', 'Drama', 'Thriller']",8.2,2007,Ethan Coen
248,Alien,"['Horror', 'Sci-Fi']",8.5,1979,Ridley Scott
249,Léon: The Professional,"['Action', 'Crime', 'Drama']",8.5,1994,Luc Besson
